datetime,filename,tcc_id,center_lat,center_lon,pixel_count,area_km2,max_radius_km,min_radius_km,mean_radius_km,eccentricity,perimeter_km,major_axis_length_km,minor_axis_length_km,orientation_deg,mean_tb,min_tb,max_tb,median_tb,stddev_tb,mean_cloud_top_height_km,max_cloud_top_height_km,region
01-11-2015 01:00,3DIMG_01NOV2015_0100_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.87019625,91.05163884,5788,95472.12869,203.079079,166.7460703,184.9125746,0.570799675,2199.76478,406.158158,333.4921405,47.54478611,200.9967651,181.14534,217.8607788,200.5950928,9.568858147,15.85048458,18.82819901,NIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.52192057,83.92176871,7249,119571.0886,223.5818336,188.2176882,205.8997609,0.539744206,2319.026737,447.1636672,376.4353764,23.18527918,201.8352051,180.0890198,217.5713196,203.3434296,9.971214294,15.72471881,18.98664703,NIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.87019625,91.20253556,6295,103835.0121,208.0181752,173.4699549,190.744065,0.551889425,2046.314453,416.0363503,346.9399097,39.57250178,201.859848,181.7315979,217.5713196,201.5158386,8.503559113,15.72102495,18.74026031,NIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,14.03222387,56.30766852,15606,257418.4589,355.0294522,251.3113592,303.1704057,0.706352163,4015.090216,710.0589044,502.6227183,9.965485126,202.8693542,180.0890198,217.5713196,202.7428436,7.964984894,15.5695969,18.98664703,NIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC7_20151101_0130,3.76848583,69.13388992,2812,46383.48754,232.029744,95.45296911,163.7413566,0.911462815,2507.726209,464.0594881,190.9059382,-5.780192133,210.0599365,186.6181335,217.5713196,210.9962769,5.492090225,14.49100727,18.00727997,NIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC2_20151101_0000,-3.138707613,90.97619048,2712,44734.00363,222.7807845,84.23110324,153.5059439,0.925768997,1423.815961,445.561569,168.4622065,-58.87674241,212.4407196,191.7181549,220.970993,212.4826202,5.059189796,14.13389158,17.24227676,SIO
01-11-2015 01:30,3DIMG_01NOV2015_0130_L1C_ASIA_MER_V01R00.png,TCC1_20151101_0000,-8.238079881,77.24458874,2143,35348.44018,139.145506,101.252343,120.1989245,0.685924844,1551.158068,278.291012,202.5046859,-28.72149116,212.4117584,200.8888092,220.970993,211.9923401,4.905029297,14.13823656,15.86667862,SIO
01-11-2015 02:00,3DIMG_01NOV2015_0200_L1C_ASIA_MER_V01R00.png,TCC2_20151101_0000,-3.062869292,90.78756957,2511,41418.54097,206.1518076,84.05491616,145.1033619,0.913101154,1456.280122,412.3036151,168.1098323,-58.39895634,213.6563416,194.4313965,220.7212067,214.5987244,4.854129791,13.95155022,16.83529053,SIO
01-11-2015 02:00,3DIMG_01NOV2015_0200_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,13.99539308,56.26994434,16260,268206.0837,364.5224217,261.8767679,313.1995948,0.69561931,5342.992834,729.0448433,523.7535359,9.434232593,203.5755768,180.0890198,217.7532806,203.639267,7.824869633,15.46366295,18.98664703,NIO
01-11-2015 02:00,3DIMG_01NOV2015_0200_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.44913107,83.88404453,7275,119999.9544,230.2035942,192.9674926,211.5855434,0.545290582,2413.511698,460.4071883,385.9349852,32.21743013,201.2504425,180.0890198,217.7532806,201.8299866,9.926179886,15.81243397,18.98664703,NIO
